Group0Code	Group0Desc	Group1Code	Group1Desc	Group2Code	Group2Desc	IndicatorCode	IndicatorDesc	TableId
20	Millennium Development Goals (MDGs)	'20.03	Goal 3: Promote gender equality and empower women	'20.03.05	Proportion of seats held by women in national parliament	20.03.05.01	Proportion of seats held by women in national parliament	20030501.px
20	Millennium Development Goals (MDGs)	'20.04	Goal 4: Reduce child mortality	'20.04.01	Under-five mortality rat	20.04.01.01	Under-five mortality rate by region and locality type	20040101.px
20	Millennium Development Goals (MDGs)	'20.04	Goal 4: Reduce child mortality	'20.04.01	Under-five mortality rat	20.04.01.02	Under-five mortality rate by region and sex	20040102.px
20	Millennium Development Goals (MDGs)	'20.04	Goal 4: Reduce child mortality	'20.04.02	Infant mortality rate	20.04.02.01	Infant mortality rate by region and locality type	20040201.px
20	Millennium Development Goals (MDGs)	'20.04	Goal 4: Reduce child mortality	'20.04.02	Infant mortality rate	20.04.02.02	Infant mortality rate by region and sex	20040202.px
20	Millennium Development Goals (MDGs)	'20.04	Goal 4: Reduce child mortality	'20.04.03	Proportion of 1 year-old children immunised against measles	20.04.03.01	Proportion of 1 year-old children immunised against measles by region and locality type	20040301.px
20	Millennium Development Goals (MDGs)	'20.04	Goal 4: Reduce child mortality	'20.04.03	Proportion of 1 year-old children immunised against measles	20.04.03.02	Proportion of 1 year-old children immunised against measles by region and sex	20040302.px
20	Millennium Development Goals (MDGs)	'20.05	Goal 5: Improve maternal health	'20.05.01	Proportion of births attended by skilled health personnel	20.05.01.01	Proportion of births attended by skilled health personnel by region and locality type	20050101.ps
20	Millennium Development Goals (MDGs)	'20.05	Goal 5: Improve maternal health	'20.05.02	Contraceptive prevalence rate 	20.05.02.01	Contraceptive prevalence rate by  region and locality type	20050201.px
20	Millennium Development Goals (MDGs)	'20.05	Goal 5: Improve maternal health	'20.05.03	Adolescent birth rate	20.05.03.01	Adolescent birth rate by  region and locality type	20050301.px
20	Millennium Development Goals (MDGs)	'20.05	Goal 5: Improve maternal health	'20.05.04	Antenatal care coverage (at least one visit)	20.05.04.01	Antenatal care coverage (at least one visit) by  region and locality type	20050401.px
20	Millennium Development Goals (MDGs)	'20.05	Goal 5: Improve maternal health	'20.05.05	Antenatal care coverage (at least four visits)	20.05.05.01	Antenatal care coverage (at least four visits) by  region and locality type	20050501.px
20	Millennium Development Goals (MDGs)	'20.05	Goal 5: Improve maternal health	'20.05.06	Unmet need for family planning	20.05.06.01	 Unmet need for family planning by  region and locality type	20050601.px
20	Millennium Development Goals (MDGs)	'20.07	Goal 7: Ensure environmental sustainability	'20.07.01	Proportion of land area covered by forest	20.07.01.01	Proportion of land area covered by forest by region	20070101.px
20	Millennium Development Goals (MDGs)	'20.07	Goal 7: Ensure environmental sustainability	'20.07.02	CO2 emissions per capita	20.07.02.01	CO2 emissions per capita	20070201.px
20	Millennium Development Goals (MDGs)	'20.07	Goal 7: Ensure environmental sustainability	'20.07.03	Proportion of population using an improved drinking water source	20.07.03.01	Proportion of population using an improved drinking water source by region and locality type	20070301.px
20	Millennium Development Goals (MDGs)	'20.07	Goal 7: Ensure environmental sustainability	'20.07.04	Proportion of population using an improved sanitation facility	20.07.04.01	Proportion of population using an improved sanitation facility by region and locality type	20070401.px
20	Millennium Development Goals (MDGs)	'20.08	Goal 8: Develop a global partnership for development	'20.08.01	Telephone lines per 100 population 	20.08.01.01	Telephone lines per 100 population	20080101.px
20	Millennium Development Goals (MDGs)	'20.08	Goal 8: Develop a global partnership for development	'20.08.02	Cellular subscribers per 100 population	20.08.02.01	Cellular subscribers per 100 population	20080201.px
20	Millennium Development Goals (MDGs)	'20.08	Goal 8: Develop a global partnership for development	'20.08.03	Internet users per 100 population	20.08.03.01	Internet users per 100 population  by Sex	20080301.px
20	Millennium Development Goals (MDGs)	'20.08	Goal 8: Develop a global partnership for development	'20.08.03	Internet users per 100 population	20.08.03.02	Internet users per 100 population  by locality type	20080302.px
